Company,Legal name,Score,Confidence,Why (top reasons),Unknown signals,Website,Phone,City,Region,Country,Industry,Founded,Employees (est.),Revenue low (est.),Revenue high (est.),Owner,Owner born,Sources
Allen Mills Howard & Co,,100.0,low,"Website domain registered in 2000, so trading at least 26 years",8,http://www.allenmillshoward.co.uk,+441619291303,Altrincham,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Brookfield Financial Planning,,100.0,low,"Website domain registered in 2001, so trading at least 25 years",8,http://www.brookfield-fp.co.uk,+441619040018,Altrincham,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Certax Accounting Altrincham & Sale,,100.0,low,"Website domain registered in 2000, so trading at least 26 years",8,http://www.certax.co.uk,+441616370692,Altrincham,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Cost Care Tax - Tax And Capital Allowance Consultancy,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,https://www.costcare.co.uk/,+441619040044,Altrincham,,GB,Accounting,,,,,,,"overture, rdap"
DHD & Co,,100.0,low,"Website domain registered in 2001, so trading at least 25 years",8,http://www.dhd-co.com,+441618818999,Manchester,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
John A Porter & Co.,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.johnaporter.com/,+441612490990,Manchester,,GB,Accounting,,,,,,,"overture, rdap"
Langers Chartered Accountants,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.langer.co.uk/,+441614913788,Cheadle,Cheshire,GB,Accounting,,,,,,,"overture, rdap"
Leon Herman,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.leonherman.co.uk,+441612495040,Manchester,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Madisons,,100.0,low,"Website domain registered in 1997, so trading at least 29 years",8,http://www.madisons.co.uk/,+441614343535,Manchester,,GB,Accounting,,,,,,,"overture, rdap"
Powell & Powell,,100.0,low,"Website domain registered in 2000, so trading at least 26 years",8,http://www.powellandpowell.co.uk,+441618658915,Manchester,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Reilly McMordie,,100.0,low,"Website domain registered in 1998, so trading at least 28 years",8,http://www.reilly-mcmordie.co.uk,+441619688100,Altrincham,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Tussies Chartered Accountants,,100.0,low,"Website domain registered in 2001, so trading at least 25 years",8,http://www.tussies.co.uk,+441614281188,Cheadle,ENG,GB,Accounting,,,,,,,"overture, rdap"
A&C Chartered Accountants,,70.0,low,"Website domain registered in 2010, so trading at least 16 years",8,https://www.ac-accounts.co.uk/,+441619621855,Sale,ENG,GB,Accounting,,,,,,,"overture, rdap"
Berkley Heath,,70.0,low,"Website domain registered in 2005, so trading at least 21 years",8,http://www.berkleyheath.co.uk,+441614329773,Manchester,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Brierley Holt (Accountants) Ltd.,,70.0,low,"Website domain registered in 2004, so trading at least 22 years",8,http://www.brierleyholt.co.uk/,+441619287114,Altrincham,,GB,Accounting,,,,,,,"overture, rdap"
COS Bookkeeping,,70.0,low,"Website domain registered in 2010, so trading at least 16 years",8,http://www.cosbookkeeping.co.uk/,+441618503355,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
Daggett & Co,,70.0,low,"Website domain registered in 2004, so trading at least 22 years",8,http://www.daggettaccountants.co.uk,+441614487171,Manchester,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Hamilton Locke & Co,,70.0,low,"Website domain registered in 2006, so trading at least 20 years",8,http://www.moneyplusgroup.co.uk,+448000834646,Altrincham,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Haskell Woolfe,,70.0,low,"Website domain registered in 2007, so trading at least 19 years",8,http://www.haskellwoolfe.co.uk,+441618654789,Manchester,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Moffatt & Co Chartered Accountants,,70.0,low,"Website domain registered in 2009, so trading at least 17 years",8,http://www.moffattsaccounts.com,+441614348416,Manchester,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Montague Brown,,70.0,low,"Website domain registered in 2002, so trading at least 24 years",8,http://www.montaguebrown.co.uk/,+441614281728,Cheadle,,GB,Accounting,,,,,,,"overture, rdap"
Moore Accountancy Ltd.,,70.0,low,"Website domain registered in 2010, so trading at least 16 years",8,http://www.mooreaccountancy.co.uk/,+447542299247,Altrincham,,GB,Accounting,,,,,,,"overture, rdap"
Plan Practice Ltd.,,70.0,low,"Website domain registered in 2003, so trading at least 23 years",8,http://www.planpractice.co.uk/,+441612983421,Manchester,,GB,Accounting,,,,,,,"overture, rdap"
Premier Accounts,,70.0,low,"Website domain registered in 2005, so trading at least 21 years",8,https://www.premieraccounts.co.uk/,+441618658298,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
Renshaw,,70.0,low,"Website domain registered in 2009, so trading at least 17 years",8,http://www.renshawcca.com,+441619290600,Altrincham,Greater Manchester,GB,Accounting,,,,,,,"overture, rdap"
Roy & Co.,,70.0,low,"Website domain registered in 2008, so trading at least 18 years",8,http://www.royandcompany.co.uk/,+441612484844,Manchester,Manchester,GB,Accounting,,,,,,,"overture, rdap"
Sheppards Chartered Accountants,,70.0,low,"Website domain registered in 2005, so trading at least 21 years",8,http://www.shca.co.uk/,+441619412641,Altrincham,,GB,Accounting,,,,,,,"overture, rdap"
Sterling Partners,,70.0,low,"Website domain registered in 2009, so trading at least 17 years",8,http://www.sterlingpartners.co.uk/,+441614462112,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
TWJ Partnership LLP,,70.0,low,"Website domain registered in 2003, so trading at least 23 years",8,http://www.twjac.com/,+441619765999,Sale,ENG,GB,Accounting,,,,,,,"overture, rdap"
Alexander Knight & Co. Accountants,,40.0,low,"Website domain registered in 2012, so trading at least 14 years",8,http://www.alexanderknightaccountants.co.uk/,+441619808788,Altrincham,,GB,Accounting,,,,,,,"overture, rdap"
B.C.A. Accountants LTD,,40.0,low,"Website domain registered in 2013, so trading at least 13 years",8,http://www.bcaaccountants.co.uk/,+441618354141,Altrincham,ENG,GB,Accounting,,,,,,,"overture, rdap"
CKW Chartered Certified Accountants,,40.0,low,"Website domain registered in 2013, so trading at least 13 years",8,http://www.ckwca.co.uk/,+441614322633,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
Lams Accountants,,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,http://www.LamsAccountants.co.uk/,+441614347979,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
Open Accountants Ltd.,,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,http://www.open-accountants.com/,+447947452314,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
Shackleton Stott,,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,http://www.shackletonstott.co.uk/,+441619390119,Altrincham,Cheshire,GB,Accounting,,,,,,,"overture, rdap"
Taxwise Accounting,,40.0,low,"Website domain registered in 2014, so trading at least 12 years",8,https://www.taxwiseaccounting.org/,+441612403701,Sale,Cheshire,GB,Accounting,,,,,,,"overture, rdap"
Accountancy Anywhere,,,low,,9,,+443331233234,Sale Moor,,GB,Accounting,,,,,,,overture
Aegis Tax,,,low,,9,http://www.aegistax.ch,+441619297085,Altrincham,Greater Manchester,GB,Accounting,,,,,,,overture
Alan Stevenson & Co,,,low,,9,http://www.stevensonaccts.co.uk,+441614280441,Cheadle,Greater Manchester,GB,Accounting,,,,,,,overture
Anthony Andreou,,,low,,9,,+441618819330,Manchester,Manchester,GB,Accounting,,,,,,,overture
AudAcc,,,low,,9,http://audacc.co.uk/,+447389151544,Cheadle,ENG,GB,Accounting,,,,,,,"overture, rdap"
AXT Accountants,,,low,,9,https://axtaccountants.com/,+441619899560,Cheadle,ENG,GB,Accounting,,,,,,,"overture, rdap"
Bsl Umbrella Ltd.,,,low,,9,http://www.bslumbrella.co.uk/,+441619277489,Altrincham,,GB,Accounting,,,,,,,"overture, rdap"
Burns Partnership,,,low,,9,http://www.gordonburnspartnership.co.uk/,+441614454661,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
Crawley Chartered Accountant,,,low,,9,,+441614288668,Cheadle,,GB,Accounting,,,,,,,overture
Cube Accountants Ltd.,,,low,,9,,+447912605315,Manchester,Manchester,GB,Accounting,,,,,,,overture
ETC Tax,,,low,,9,https://www.etctax.co.uk/,+441617111320,Altrincham,ENG,GB,Accounting,,,,,,,"overture, rdap"
Ferguson & Co.,,,low,,9,,+441619411693,Altrincham,Cheshire,GB,Accounting,,,,,,,overture
G Krystek & Co.,,,low,,9,,+441614914020,Cheadle,,GB,Accounting,,,,,,,overture
Jalcor Products,,,low,,9,,+441617712803,Manchester,Manchester,GB,Accounting,,,,,,,overture
Lee & Co.,,,low,,9,,+441614348623,Manchester,Lancashire,GB,Accounting,,,,,,,overture
Makarim Accountants,,,low,,9,,+441612869679,Manchester,Manchester,GB,Accounting,,,,,,,overture
M Akram & Co.,,,low,,9,,+441612252366,Manchester,Manchester,GB,Accounting,,,,,,,overture
Marsden Gibson & Co.,,,low,,9,,+441619698659,Altrincham,,GB,Accounting,,,,,,,overture
Oakdene Accountancy,,,low,,9,https://www.oakdeneaccountancy.co.uk/,+447490256703,Sale,ENG,GB,Accounting,,,,,,,"overture, rdap"
Oracle Accountants Ltd.,,,low,,9,,+441618811000,Manchester,,GB,Accounting,,,,,,,overture
Parkers Accountants,,,low,,9,,+441612243159,Manchester,,GB,Accounting,,,,,,,overture
Payroll Heaven,,,low,,9,https://payrollheaven.com/,+448432892227,Manchester,,GB,Accounting,,,,,,,"overture, rdap"
Pay Stream,,,low,,9,,+441619296000,Altrincham,,GB,Accounting,,,,,,,overture
Philip Dykes & Co. Ltd.,,,low,,9,,+441619695456,Sale,,GB,Accounting,,,,,,,overture
Pickard & Co.,,,low,,9,https://www.pickardaccountants.co.uk/,+441619692017,Sale,Cheshire,GB,Accounting,,,,,,,"overture, rdap"
Price Accounting Ltd.,,,low,,9,http://www.price-accounting.co.uk/,+441619738667,Sale,,GB,Accounting,,,,,,,"overture, rdap"
Rana & Co.,,,low,,9,,+441612570777,Manchester,,GB,Accounting,,,,,,,overture
Rebecca Williams Chartered Accountants,,,low,,9,http://williams-accountancy.co.uk/,+447881587098,Sale,ENG,GB,Accounting,,,,,,,"overture, rdap"
SJM Accounting Services,,,low,,9,http://sjm-accounting.co.uk,+447778590056,Cheadle,Cheshire,GB,Accounting,,,,,,,"overture, rdap"
S J Sheldon Ltd.,,,low,,9,,+447534387154,Altrincham,,GB,Accounting,,,,,,,overture
Styal & West Accountants,,,low,,9,http://www.styalandwest.co.uk/,+447725646829,Gatley,,GB,Accounting,,,,,,,"overture, rdap"
Sue Owen,,,low,,9,,+441619298522,Altrincham,,GB,Accounting,,,,,,,overture
T A Walker Accountancy,,,low,,9,http://www.tawalkeraccountancy.co.uk/,+441617486403,Manchester,ENG,GB,Accounting,,,,,,,overture
Taxassist Accountants,,,low,,9,http://www.taxassist.co.uk/sale,+441619770010,Sale,,GB,Accounting,,,,,,,overture
TaxAssist Accountants,,,low,,9,https://www.taxassist.co.uk/accountants/sale/?utm_source=bing&utm_medium=bing_places&utm_campaign=local,+441619291026,Sale,,GB,Accounting,,,,,,,overture
TaxAssist Accountants,,,low,,9,https://www.taxassist.co.uk/accountants/altrincham,+441619291026,Altrincham,ENG,GB,Accounting,,,,,,,overture
Taxvatch Accountants and Tax Advisors,,,low,,9,http://taxvatch.co.uk/,+447963700248,Manchester,ENG,GB,Accounting,,,,,,,overture
True North Umbrella,,,low,,9,http://www.truenorthumbrella.co.uk/,+441900829703,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
Well Pay Group Ltd,,,low,,9,https://wellpayumbrella.co.uk/,+441616370128,Manchester,ENG,GB,Accounting,,,,,,,"overture, rdap"
Xeinadin,,,low,,9,https://xeinadin.com/,,Altrincham,,GB,Accounting,,,,,,,"overture, rdap"
