Company,Legal name,Score,Confidence,Why (top reasons),Unknown signals,Website,Phone,City,Region,Country,Industry,Founded,Employees (est.),Revenue low (est.),Revenue high (est.),Owner,Owner born,Sources
1st Dental & Orthodontics,,,low,,6,http://www.1stdando.com/,+18177257500,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Advanced Dentistry,,,low,,6,https://ftwdentist.com,+18177386111,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
"Alan M Gross, DDS",,,low,,6,https://www.alanmgrossdds.com/,+18172441700,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Allstar Dental,,,low,,6,https://allstar-dental.com/,+18178826041,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Archstone Dental and Orthodontics Alta Mere,,,low,,6,https://archstonedental.com/fort-worth-alta-mere/?utm_source=facebook&utm_medium=social_media,+18177171508,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Art District Dental,,,low,,6,http://www.artdistrictdental.com/,+18177378731,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Austin Church,,,low,,6,http://www.drpreece.com/,+18172922004,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Bellaire Dental: Kevin Altieri DDS,,,low,,6,https://www.dentistinfortworthtx.com/,+18172945513,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Bender Dental,,,low,,6,http://www.benderdental.com/,+18172079700,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
BLVD Dentistry and Orthodontics,,,low,,6,https://www.blvddentistry.com/fort-worth-hulen/,+18176784908,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Brident Dental & Orthodontics,,,low,,6,https://www.brident.com/en-us/find-a-location/texas/fort-worth/6000-camp-bowie-blvd,+18175852492,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Bright White Pros,,,low,,6,https://www.brightwhitepros.com/,+18179947844,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Brooks Stevens,,,low,,6,http://Stevens.dental/,+18177378181,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Children's Dental Services of Texas,,,low,,6,http://www.ChildrensDentalServices.com/,+18177318600,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
ClearChoice Dental Implant Center,,,low,,6,http://www.clearchoice.com/,+14692325454,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Clear Fork Healthy Dental Care,,,low,,6,http://www.clearforkdental.com/,+18177319291,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Clearfork Pediatric Dentistry,,,low,,6,http://clearforkpediatricdentistry.com/,+18178855020,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Cordell Philip,,,low,,6,,+18177318766,Fort Worth,TX,US,Dental practice,,,,,,,overture
Cowtown Dental,,,low,,6,https://www.cowtowndental.com/,+18177354555,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Cuddle Kids Dental Care,,,low,,6,https://cuddlekidsdentalcare.com,+16822851010,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Curt Hinkle DDS,,,low,,6,http://curthinkledds.com/,+18179235000,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
