Company,Legal name,Score,Confidence,Why (top reasons),Unknown signals,Website,Phone,City,Region,Country,Industry,Founded,Employees (est.),Revenue low (est.),Revenue high (est.),Owner,Owner born,Sources
E 2 V,,100.0,low,"Website domain registered in 1998, so trading at least 28 years",8,http://www.e2v.jpn.com,+33437371132,Vénissieux,Rhône,FR,HVAC,,,,,,,"overture, rdap"
Thermipiece,THERMIPIECE,94.4,medium,"Founded 1986 (40 years in business) · Owner born 1963, around 63 years old · About 15 employees, inside your range",6,http://www.thermipiece.fr/,+33478720595,Vénissieux,,FR,HVAC,1986,15,2250000,3750000,Nicolas Kritikos,1963,"estimate, overture, rdap, recherche_entreprises"
Arma Plomberie Chauffage Ventilation,ARMA PLOMBERIE CHAUFFAGE VENTILATION,92.5,low,"Founded 2001 (25 years in business) · Owner born 1964, around 62 years old",7,http://www.plombier-chauffagiste-apcv-rhone.fr,+33472669879,Oullins,Rhône,FR,HVAC,2001,,,,Jean-Pierre Arma,1964,"overture, recherche_entreprises"
Cassard et Bazin,ENTREPRISE CASSARD & BAZIN,83.1,medium,"Owner born 1965, around 61 years old · Founded 2007 (19 years in business) · About 5 employees, inside your range",6,http://www.cassardetbazin.fr/,+33478374274,Lyon,,FR,HVAC,2007,5,750000,1250000,Olivier Philippe Castells,1965,"estimate, overture, rdap, recherche_entreprises"
Mounier Sanitaire,MOUNIER SANITAIRE,80.0,medium,"Founded 1992 (34 years in business) · Owner born 1942, around 84 years old · About 5 employees, inside your range",5,http://www.amgs-lyon.com,+33478295337,Lyon,Rhône,FR,HVAC,1992,5,750000,1250000,Joseph Sebban,1942,"estimate, overture, rdap, recherche_entreprises"
Srta,SRTA,77.5,low,"Owner born 1965, around 61 years old · Founded 2007 (19 years in business)",7,http://www.srta.fr,+33631466975,Oullins-Pierre-Bénite,,FR,HVAC,2007,,,,Thierry Marcq,1965,"overture, rdap, recherche_entreprises"
Chouquet Services,CHOUQUET SERVICES,73.8,medium,"Founded 2005 (21 years in business) · About 5 employees, inside your range · Owner born 1970, around 56 years old",6,http://www.chouquetservices.fr/,+33985132016,Lyon,,FR,HVAC,2005,5,750000,1250000,Stephane Chouquet,1970,"estimate, overture, rdap, recherche_entreprises"
Qualitec,QUALITEC SARL,73.8,medium,"Founded 2003 (23 years in business) · About 5 employees, inside your range · Owner born 1970, around 56 years old",6,http://www.qualitec69.com,+33478383838,Lyon,Rhône,FR,HVAC,2003,5,750000,1250000,Franck Michel Bouvard,1970,"estimate, overture, rdap, recherche_entreprises"
Bouvard Entreprise,ENTREPRISE BOUVARD (ENTREPRISE BOUVARD PLOMBERIE CHAUFFAGE COUVERTURE ZINGUERIE CPRA CARRELAGE PEINT),71.4,low,"Founded 1975 (51 years in business) · About 15 employees, inside your range · Part of a larger group",6,http://www.entreprise-bouvard.fr,+33478765910,Vénissieux,Rhône,FR,HVAC,1975,15,2250000,3750000,,,"estimate, overture, rdap, recherche_entreprises"
Chemisages du Sud-Est,CHEMISAGES DU SUD-EST,71.4,low,"Founded 1986 (40 years in business) · About 15 employees, inside your range · Part of a larger group",6,http://www.chemisages-sud-est.com,+33472776674,Lyon,Rhône,FR,HVAC,1986,15,2250000,3750000,,,"estimate, overture, rdap, recherche_entreprises"
Jean RIVIERE,SOCIETE JEAN RIVIERE,71.4,low,"Founded 1965 (61 years in business) · About 35 employees, inside your range · Part of a larger group",6,http://www.jean-riviere.fr/,+33472688283,Vénissieux,,FR,HVAC,1965,35,5250000,8750000,,,"estimate, overture, rdap, recherche_entreprises"
Schako,SCHAKO,71.4,low,"Founded 1991 (35 years in business) · About 5 employees, inside your range · Part of a larger group",6,http://www.schako.fr,+33478349734,Lyon,,FR,HVAC,1991,5,750000,1250000,,,"estimate, overture, rdap, recherche_entreprises"
Bretou et Sage Entrepr,,70.0,low,"Website domain registered in 2009, so trading at least 17 years",8,http://www.bretou-sage.fr/,+33478503441,Sainte-Foy-lès-Lyon,,FR,HVAC,,,,,,,"overture, rdap"
CEDEO,,70.0,low,"Website domain registered in 2007, so trading at least 19 years",8,https://www.cedeo.fr/infos-agence/lyon-vaise-cedeo-2270,+33478835004,Lyon,,FR,HVAC,,,,,,,"overture, rdap"
Coaxel,,70.0,low,"Website domain registered in 2007, so trading at least 19 years",8,https://www.rexel.fr/agence/6902/coaxel-vaise,+33478471125,Lyon,Rhône,FR,HVAC,,,,,,,"overture, rdap"
C.V.T.I,,70.0,low,"Website domain registered in 2002, so trading at least 24 years",8,http://www.cvti.fr,+33478562610,Chaponost,Rhône,FR,HVAC,,,,,,,"overture, rdap"
E.S.A.T. Witkowska,,70.0,low,"Website domain registered in 2006, so trading at least 20 years",8,http://www.esat-witkowska.com,+33472162316,Sainte Foy Lès Lyon,Rhône,FR,HVAC,,,,,,,"overture, rdap"
Gac Générale d'Accessoires de Chauffage,,70.0,low,"Website domain registered in 2002, so trading at least 24 years",8,http://www.climdatec.com,+33478660707,Dardilly,Rhône,FR,HVAC,,,,,,,"overture, rdap"
Techniciens Lyonnais,FRANCK MONTILLOT (TECHNICIENS LYONNAIS),70.0,low,Founded 2007 (19 years in business),8,http://www.technicienlyonnais.fr,+33652286815,Lyon,,FR,HVAC,2007,,,,,,"overture, rdap, recherche_entreprises"
Bodevigie,ETABLISSEMENTS BODEVIGIE SAS,66.2,medium,"Founded 1956 (70 years in business) · About 5 employees, inside your range · Owner born 1993, around 33 years old",6,http://Www.bodevigie.fr/,+33478580344,Lyon,,FR,HVAC,1956,5,750000,1250000,Ernest Denis Pascal,1993,"estimate, overture, rdap, recherche_entreprises"
Sedicam,SEDICAM,60.5,medium,"Founded 1900 (126 years in business) · About 35 employees, inside your range · Owner born 1974, around 52 years old",5,http://www.sedicam.com,+33478005820,Vénissieux,Rhône,FR,HVAC,1900,35,5250000,8750000,Florian Jean-Rene Cournet,1974,"estimate, overture, recherche_entreprises"
