Company,Legal name,Score,Confidence,Why (top reasons),Unknown signals,Website,Phone,City,Region,Country,Industry,Founded,Employees (est.),Revenue low (est.),Revenue high (est.),Owner,Owner born,Sources
A/C Service Co.,,100.0,medium,"Sells contracts or subscriptions, sells to other businesses · Founded 1999 (27 years in business) · Website not updated since 2013",5,http://checkmyac.com,+18174689922,Fort Worth,TX,US,HVAC,1999,,,,,,"overture, rdap, website"
"AC Supply, a Robert Madden Industries Company",,100.0,low,"Website domain registered in 2000, so trading at least 26 years",8,http://acsupplytexas.com/,+18172443885,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
American Ice Machines,,100.0,low,"Website domain registered in 2000, so trading at least 26 years",8,http://www.americanicemachines.com,+18173356900,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
"Berkeys Plumbing, A/C & Electrical",,100.0,low,"Website domain registered in 1998, so trading at least 28 years",8,https://www.berkeys.com/fort-worth/,+18177996090,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Century Mechanical Contractors,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.centurymech.com/,+18172933803,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
CKS Packaging,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.ckspackaging.com,+18175515819,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Freer Mechanical Contractors,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.freermechanical.com,+18173352101,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Harold James Inc,,100.0,low,"Website domain registered in 2000, so trading at least 26 years",8,http://www.haroldjames.com/,+18179215434,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
HVAC Technical,,100.0,low,"Website domain registered in 2000, so trading at least 26 years",8,http://Www.hvactechnical.com/,+18174280124,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Infinity Contractors,,100.0,low,"Website domain registered in 1998, so trading at least 28 years",8,https://infinitycontractors.com/,+18178388700,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Sunbelt Rentals Climate Control,,100.0,low,"Website domain registered in 1997, so trading at least 29 years",8,https://www.sunbeltrentals.com/location/tx/fort-worth/hvac-dehumidification-rentals/1208/?utm_source=bingplaces&utm_medium=organic&utm_campaign=pc1208&y_source=1_MTc2MDU2ODgtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,+16826107741,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Webb Air Heating & Cooling,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.webbair.com/,+18175350881,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
AC Genius air conditioning repair & installation,,70.0,low,"Website domain registered in 2005, so trading at least 21 years",8,https://acgenius.com/,+18176315287,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
AC Service & Repairs,,70.0,low,"Website domain registered in 2011, so trading at least 15 years",8,http://acserviceandrepairs.com/,+18177378423,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Century Hvac Distributing,,70.0,low,"Website domain registered in 2011, so trading at least 15 years",8,https://centuryhvac.com/,+18178319675,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Compass Air Services Inc,,70.0,low,"Website domain registered in 2009, so trading at least 17 years",8,http://www.compassairservice.com/,+18176280030,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
D-Mechanical Service,,70.0,low,"Website domain registered in 2003, so trading at least 23 years",8,http://www.dmechanicalservice.com/,+18178310217,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Fort Worth Air Conditioning Co. Inc.,,70.0,low,"Website domain registered in 2008, so trading at least 18 years",8,https://fortworth-air.com/,+18173676000,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Grant Air Conditioning,,70.0,low,"Website domain registered in 2005, so trading at least 21 years",8,http://www.grantac.com/,+18173327979,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Hawk Plumbing Heating & Air Conditioning,,70.0,low,"Website domain registered in 2004, so trading at least 22 years",8,http://www.hawkphac.com/,+18172368482,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Larsen Services,,70.0,low,"Website domain registered in 2010, so trading at least 16 years",8,http://www.larsenservices.com,+18172379410,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Lawrence Air Conditioning & Heating,,70.0,low,"Website domain registered in 2010, so trading at least 16 years",8,https://lawrenceairandheat.com/,+18172378028,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Matco Heat and Air,,70.0,low,"Website domain registered in 2010, so trading at least 16 years",8,https://matcoair.com/,+18174301100,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Momentum Mechanical,,70.0,low,"Website domain registered in 2005, so trading at least 21 years",8,http://www.momentummechanical.com/,+18662712351,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Norman Aire Services,,70.0,low,"Website domain registered in 2011, so trading at least 15 years",8,https://www.normanaireservices.com/,+19722308497,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Paschall Air Conditioning and Heating,,70.0,low,"Website domain registered in 2008, so trading at least 18 years",8,http://www.paschallairheat.com/,+18172349333,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
