Company,Legal name,Score,Confidence,Why (top reasons),Unknown signals,Website,Phone,City,Region,Country,Industry,Founded,Employees (est.),Revenue low (est.),Revenue high (est.),Owner,Owner born,Sources
AAA AUGER Plumbing Services,,100.0,low,"Website domain registered in 2001, so trading at least 25 years",8,http://www.aaa-auger.com/,+18174851166,Fort Worth,TX,US,Plumbing,,,,,,,"overture, rdap"
All-Tex Pipe & Supply Co,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.alltexsupply.com,+18178313821,Haltom City,TX,US,Plumbing,,,,,,,"overture, rdap"
"Berkeys Plumbing, A/C & Electrical",,100.0,low,"Website domain registered in 1998, so trading at least 28 years",8,https://www.berkeys.com/fort-worth/,+18177996090,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Ferguson Plumbing Supply,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,https://www.ferguson.com/store/tx/fort+worth/plumbingpvf-0077,+16827070009,Fort Worth,TX,US,Plumbing,,,,,,,"overture, rdap"
Hydro Resources Inc,,100.0,low,"Website domain registered in 2000, so trading at least 26 years",8,http://hydroresources.com/,+17136224033,Sugar Land,TX,US,Plumbing,,,,,,,"overture, rdap"
Infinity Contractors,,100.0,low,"Website domain registered in 1998, so trading at least 28 years",8,https://infinitycontractors.com/,+18178388700,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Lasiter and Lasiter Plumbing,,100.0,low,"Website domain registered in 1998, so trading at least 28 years",8,https://www.lasiter.com/,+18175891678,Haltom City,TX,US,Plumbing,,,,,,,"overture, rdap"
Mark's Plumbing Parts,,100.0,low,"Website domain registered in 1997, so trading at least 29 years",8,http://markspp.com/,+18007722347,Fort Worth,TX,US,Plumbing,,,,,,,"overture, rdap"
Ober and Sons Welding,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.oberandsons.com,+12818798968,Houston,TX,US,HVAC,,,,,,,"overture, rdap"
Rudy's Plumbing Co.,,100.0,low,"Website domain registered in 1999, so trading at least 27 years",8,http://www.servicemagic.com,+18178316711,Fort Worth,TX,US,Plumbing,,,,,,,"overture, rdap"
Servomex Co Inc,,100.0,low,"Website domain registered in 1996, so trading at least 30 years",8,http://www.servomex.com/,+12812955800,Sugar Land,TX,US,HVAC,,,,,,,"overture, rdap"
Accurate Leak and Line - Fort Worth,,70.0,low,"Website domain registered in 2005, so trading at least 21 years",8,https://www.accurateleak.com/fort-worth/,+18174061070,Fort Worth,TX,US,Plumbing,,,,,,,"overture, rdap"
Act Pipe and Supply,,70.0,low,"Website domain registered in 2005, so trading at least 21 years",8,https://actpipe.com,+18178311663,Fort Worth,TX,US,Plumbing,,,,,,,"overture, rdap"
All Repair Plumbing,,70.0,low,"Website domain registered in 2009, so trading at least 17 years",8,http://www.allrepairplumbing.com/,+18179209415,Fort Worth,TX,US,Plumbing,,,,,,,"overture, rdap"
